,High school system,Gender,Num of graduates,Num of enroll in National university,Num of enroll in private university,Num of enroll in police university,Num of enroll in police college,Num of enroll in military school,Num of enroll in other school
2,county & city,male,23143,10021,10576,23,266,242,5
8,county & city,male,9315,4040,3611,3,12,70,1
14,county & city,male,1906,595,1088,1,21,36,4
20,county & city,male,394,11,77,0,0,0,0
26,county & city,male,1202,31,258,0,1,5,2
