,High school system,Gender,Num of graduates,Num of enroll in National university,Num of enroll in private university,Num of enroll in police university,Num of enroll in police college,Num of enroll in military school,Num of enroll in other school
0,National,male,12381,5727,4817,38,309,270,1
4,National,male,13980,3610,8241,23,178,273,1
6,National,male,13352,3885,5040,2,33,190,1
12,National,male,2545,669,1348,3,44,54,0
18,National,male,1449,91,470,0,1,10,2
24,National,male,1705,43,234,0,2,8,17
