,High school system,Gender,Num of graduates,Num of enroll in National university,Num of enroll in private university,Num of enroll in police university,Num of enroll in police college,Num of enroll in military school,Num of enroll in other school
11,private,female,30259,2232,18098,5,14,114,29
17,private,female,3276,306,2411,0,2,18,4
23,private,female,3000,35,966,2,0,9,9
29,private,female,3816,29,272,0,0,4,2
