,High school system,Gender,Num of graduates,Num of enroll in National university,Num of enroll in private university,Num of enroll in police university,Num of enroll in police college,Num of enroll in military school,Num of enroll in other school
10,private,male,33114,2298,16251,9,22,393,25
16,private,male,2686,319,1632,0,6,57,2
22,private,male,3894,43,943,1,0,11,30
28,private,male,4777,28,248,0,1,6,8
