,High school system,Gender,Num of graduates,Num of enroll in National university,Num of enroll in private university,Num of enroll in police university,Num of enroll in police college,Num of enroll in military school,Num of enroll in other school
3,county & city,female,24351,9111,13641,11,36,133,2
9,county & city,female,5688,2321,2790,0,1,13,3
15,county & city,female,2066,455,1464,0,1,12,0
21,county & city,female,221,13,68,0,0,1,0
27,county & city,female,784,27,112,0,0,0,11
