Date,Open,High,Low,Close,Volume,MA_5,EMA_5,bbands_middle,bbands_upper,bbands_lower,RSI,K,D,macd_dif,macd_dea,macd,buy_point,ticker_num,income,expenditure,account
2019-01-30,11.4,11.5,11.25,11.35,95570,11.77,11.673852885132833,11.355,12.070471872263331,10.63952812773667,53.33333333333334,60.5122675894408,77.68256495076596,0.17551070442407735,0.14445639582078684,0.031054308603290504,0,0,0.0,0.0,500000.0
2019-02-11,11.4,11.4,10.8,10.85,82010,11.6,11.399235256755222,11.3525,12.074632259354194,10.630367740645804,45.28301886792453,40.34151172629387,65.23554720927527,0.10429641227007913,0.1364243991106453,-0.03212798684056617,0,0,0.0,0.0,500000.0
2019-02-12,10.85,11.15,10.8,11.1,70690,11.429999999999998,11.299490171170149,11.3725,12.041435721874677,10.703564278125324,47.272727272727266,34.140717962456776,54.87060412700244,0.06725619577027864,0.12259075844257197,-0.055334562672293336,0,0,0.0,0.0,500000.0
2019-02-13,11.2,11.2,11.0,11.1,70000,11.28,11.232993447446766,11.377500000000001,12.036647176281592,10.71835282371841,46.296296296296276,30.00685545323205,46.58268790241231,0.03746963075453458,0.1055665329049645,-0.06809690215042992,0,0,0.0,0.0,500000.0
2019-02-14,11.15,11.3,11.1,11.3,26940,11.14,11.255328964964512,11.395,12.025793151516401,10.764206848483598,50.87719298245615,33.048048563024295,42.07114145594964,0.029659990007106174,0.09038522432539284,-0.060725234318286664,0,0,0.0,0.0,500000.0
2019-02-15,11.25,11.4,11.2,11.4,33217,11.15,11.303552643309676,11.41,12.026116872029968,10.793883127970032,50.0,55.365365708682866,46.50254954019405,0.031180527996932383,0.07854428505970075,-0.047363757062768366,0,0,0.0,0.0,500000.0
2019-02-18,11.5,11.55,11.45,11.45,23733,11.27,11.352368428873117,11.425,12.029565960007668,10.820434039992334,45.09803921568626,70.24357713912191,54.41622540650334,0.03600510302603155,0.0700364486529669,-0.034031345626935355,0,0,0.0,0.0,500000.0
2019-02-19,11.45,11.5,11.4,11.45,20956,11.34,11.384912285915412,11.4375,12.03321385748528,10.84178614251472,45.09803921568626,80.1623847594146,62.99827852414043,0.03937472616249593,0.06390410415487272,-0.024529377992376783,0,0,0.0,0.0,500000.0
2019-02-20,11.45,11.45,11.35,11.4,23211,11.4,11.389941523943609,11.4525,12.028238655988975,10.876761344011026,46.93877551020407,82.01301841103842,69.33652515310642,0.037577425472687054,0.058638768418435586,-0.021061342945748532,0,0,0.0,0.0,500000.0
2019-02-21,11.45,11.5,11.35,11.45,33906,11.43,11.409961015962406,11.4625,12.030720907746266,10.894279092253734,44.68085106382978,88.00867894069228,75.56057641563504,0.03972965512628335,0.05485694576000514,-0.015127290633721792,0,0,0.0,0.0,500000.0
2019-02-22,11.45,11.5,11.3,11.5,39409,11.45,11.439974010641604,11.4725,12.03594919912978,10.90905080087022,39.53488372093024,92.00578596046152,81.0423129305772,0.04495171932637909,0.05287590047327993,-0.007924181146900841,0,0,0.0,0.0,500000.0
2019-02-25,11.55,11.7,11.5,11.65,58222,11.489999999999998,11.50998267376107,11.4925,12.051315712019615,10.933684287980384,45.45454545454547,94.67052397364102,85.5850499449318,0.06049662182700821,0.05440004474402559,0.00609657708298262,0,0,0.0,0.0,500000.0
2019-02-26,11.65,11.75,11.6,11.65,31765,11.53,11.556655115840714,11.504999999999999,12.066159513863917,10.94384048613608,41.46341463414634,96.44701598242736,89.20570529076365,0.07198625630098476,0.05791728705541743,0.014068969245567331,0,0,0.0,0.0,500000.0
