,Date,ticker_num,price,price(with_tax),tax,spend,profit,profit_rate,profit_sum,profit_sum_rate,account
0,2003-07-24,12109,41.23,41.28875275,711.43704975,-499965.50704975,,,,,34.49295024998719
1,2003-11-19,-12109,45.99,45.786494250000004,2464.2511267500004,554428.65887325,54463.1518235,10.893381854456718,54463.15182349994,10.892630364699988,554463.1518234999
2,2003-12-01,11984,46.2,46.265835,788.9666400000001,-554449.76664,,,,,13.385183499893174
3,2004-03-12,-11984,50.45,50.22675875,2675.3231400000004,601917.47686,47467.71022000001,8.561228280004025,101930.86204349995,20.38617240869999,601930.8620435
4,2004-03-18,11855,50.7,50.772247500000006,856.4941125,-601904.9941125001,,,,,25.86793099984061
5,2004-03-22,-11855,47.43,47.220122249999996,2488.10072625,559794.5492737499,-42110.444838750176,-6.996194623844482,59820.41720474977,11.964083440949954,559820.4172047498
6,2004-03-29,11385,49.1,49.1699675,796.5799875,-559800.0799875,,,,,20.337217249791138
7,2004-04-29,-11385,48.69,48.474546749999995,2452.93525125,551882.71474875,-7917.365238750004,-1.4143201335245958,51903.051965999766,10.380610393199953,551903.0519659998
8,2004-05-19,12354,44.61,44.67356925,785.3345145000001,-551897.2745145,,,,,5.777451499714516
9,2004-06-03,-12354,43.64,43.446893,2385.643878,536742.9161220001,-15154.35839249997,-2.7458657783427443,36748.6935734998,7.349738714699959,536748.6935734998
10,2004-06-08,11754,45.6,45.66498,763.7749200000001,-536746.17492,,,,,2.518653499777429
11,2004-06-11,-11754,43.44,43.247778,2259.377388,508334.382612,-28411.792308000033,-5.2933385714830115,8336.901265499764,1.6673802530999526,508336.90126549976
12,2004-06-23,11562,43.9,43.962557499999996,723.289815,-508295.08981499996,,,,,41.811450499808416
13,2004-07-15,-11562,42.6,42.411495,2179.49481,490361.70519,-17933.384624999948,-3.5281443760408973,-9596.483359500184,-1.9192966719000368,490403.5166404998
14,2004-08-05,11441,42.8,42.86099,697.7865899999999,-490372.58659,,,,,30.93005049979547
15,2004-10-14,-11441,45.16,44.960167,2286.2893529999997,514389.270647,24016.684056999977,4.8976400218473675,14420.200697499793,2.884040139499959,514420.2006974998
16,2004-11-17,10791,47.6,47.66783,731.95353,-514383.55353000003,,,,,36.647167499759234
17,2004-11-26,-10791,45.46,45.2588395,2170.7229555000004,488388.1370445,-25995.416485500056,-5.053702885153373,-11575.215788000263,-2.3150431576000527,488424.78421199974
18,2004-12-02,10589,46.06,46.1256355,695.0143095,-488424.3543095,,,,,0.42990249971626326
19,2005-01-07,-10589,46.5,46.2942375,2178.8191125000003,490209.6808875,1785.3265779999783,0.3655277551677265,-9789.889210000285,-1.957977842000057,490210.1107899997
20,2005-01-17,10491,46.66,46.7264905,697.5518354999999,-490207.6118355,,,,,2.4989544997224584
21,2005-03-17,-10491,46.86,46.6526445,2175.3665505,489432.8934495,-774.7183859999641,-0.1580388323835204,-10564.607596000249,-2.1129215192000497,489435.39240399975
22,2005-04-26,10777,45.35,45.414623750000004,696.45015375,-489433.40015375003,,,,,1.9922502497211099
23,2005-05-20,-10777,45.26,45.059724499999994,2158.3690635,485608.65093649994,-3824.7492172500934,-0.7814646928567994,-14389.356813250342,-2.8778713626500685,485610.64318674966
24,2005-06-23,10048,48.26,48.3287705,691.005984,-485607.48598399997,,,,,3.1572027496877126
25,2005-08-19,-10048,47.57,47.35950275,2115.076368,475868.283632,-9739.202351999993,-2.005570884531398,-24128.559165250335,-4.825711833050067,475871.44083474966
26,2005-09-29,10164,46.75,46.81661875,677.112975,-475844.11297500005,,,,,27.32785974961007
27,2005-10-17,-10164,45.42,45.2190165,2042.796294,459606.083706,-16238.02926900005,-3.4124682487882674,-40366.588434250385,-8.073317686850077,459633.4115657496
28,2005-11-21,9524,48.19,48.25867075,654.020223,-459615.580223,,,,,17.831342749588657
29,2006-01-23,-9524,50.55,50.32631625,2130.364035,479307.835965,19692.25574199995,4.284505702014171,-20674.332692250435,-4.134866538450087,479325.66730774957
30,2006-02-06,9143,52.35,52.42459875,682.0563712500001,-479318.10637125,,,,,7.560936499561649
31,2006-03-22,-9143,50.75,50.52543125,2053.23208125,461954.01791874995,-17364.08845250006,-3.6226648277398716,-38038.42114475049,-7.607684228950099,461961.5788552495
32,2006-03-28,8957,51.5,51.5733875,657.3318375000001,-461942.83183750004,,,,,18.747017749468796
33,2006-05-15,-8957,56.0,55.7522,2219.5446,499372.45540000004,37429.6235625,8.102652748958945,-608.7975822504959,-0.12175951645009918,499391.2024177495
34,2006-06-14,9758,51.1,51.1728175,710.553165,-499344.353165,,,,,46.849252749525476
35,2006-07-14,-9758,50.8,50.57521,2193.5008199999997,493512.89918,-5831.453984999971,-1.1678221547992684,-6440.251567250467,-1.2880503134500934,493559.74843274953
36,2006-07-20,9598,51.35,51.423173750000004,702.3216525000001,-493559.62165250006,,,,,0.12678024946944788
37,2006-08-28,-9598,52.55,52.317466249999995,2231.8589325,502143.04106749996,8583.419414999895,1.73908460871688,2143.167847749428,0.42863356954988563,502143.1678477494
38,2006-08-31,9242,54.25,54.32730625,714.4643625000001,-502092.9643625,,,,,50.203485249425285
39,2006-10-26,-9242,53.6,53.36282,2192.0175600000002,493179.18244,-8913.781922499998,-1.7753250005838452,-6770.614074750571,-1.354122814950114,493229.38592524943
40,2006-12-19,8725,56.45,56.53044125,701.84990625,-493228.09990625,,,,,1.2860189994098619
41,2007-01-11,-8725,56.25,56.00109375,2171.70703125,488609.54296875,-4618.55693750002,-0.9363937168985077,-11389.17101225059,-2.277834202450118,488610.8289877494
42,2007-01-15,8426,57.9,57.9825075,695.2081949999999,-488560.608195,,,,,50.220792749430984
43,2007-03-01,-8426,56.05,55.801978749999996,2089.8270525,470187.47294749995,-18373.13524750003,-3.7606665251584777,-29762.30625975062,-5.952461251950124,470237.6937402494
44,2007-04-04,8131,57.75,57.83229375,669.13048125,-470234.38048125,,,,,3.3132589993765578
45,2007-07-27,-8131,65.55,65.25994125,2358.46769625,530628.58230375,60394.20182249998,12.843425391544317,30631.895562749356,6.126379112549872,530631.8955627494
46,2007-08-08,8126,65.2,65.29291,754.98666,-530570.18666,,,,,61.70890274934936
