Date,Open,High,Low,Close,Volume,K,D,RSI,buy_point,ticker_num,income,expenditure,account
2003-06-30,37.1,37.4,36.92,37.08,9930,50.0,50.0,,0,0,0.0,0.0,500000.0
2003-07-01,37.09,38.1,37.09,38.05,14290,66.66666666666667,55.55555555555556,,0,0,0.0,0.0,500000.0
2003-07-02,38.17,38.82,38.1,38.69,16232,77.77777777777779,62.96296296296296,,0,0,0.0,0.0,500000.0
2003-07-03,40.6,40.6,38.81,39.0,16839,85.18518518518519,70.37037037037038,,0,0,0.0,0.0,500000.0
2003-07-04,39.1,39.26,38.75,39.26,12491,90.12345679012347,76.95473251028808,,0,0,0.0,0.0,500000.0
2003-07-07,39.6,41.0,39.6,41.0,19461,93.41563786008231,82.44170096021949,,0,0,0.0,0.0,500000.0
2003-07-08,42.0,42.0,40.7,41.19,13945,95.61042524005488,86.83127572016463,,0,0,0.0,0.0,500000.0
2003-07-09,41.3,41.3,40.81,41.22,8849,97.07361682670326,90.24538942234418,,0,0,0.0,0.0,500000.0
2003-07-10,41.2,41.2,40.05,40.05,8603,88.62878802939636,89.70652229136157,,0,0,0.0,0.0,500000.0
2003-07-11,39.6,39.97,39.3,39.91,7019,78.64421830771532,86.01908763014615,,0,0,0.0,0.0,500000.0
2003-07-14,39.95,41.0,39.92,40.66,10771,78.38468308788396,83.47428611605875,,0,0,0.0,0.0,500000.0
2003-07-15,40.7,40.86,40.19,40.19,9432,70.12432325979049,79.02429849730265,,0,0,0.0,0.0,500000.0
2003-07-16,40.5,40.98,40.24,40.85,6798,73.79036516639098,77.27965405366544,,0,0,0.0,0.0,500000.0
2003-07-17,40.5,40.65,39.8,39.8,9924,49.19357677759399,67.91762829497496,,0,0,0.0,0.0,500000.0
2003-07-18,39.78,39.98,39.55,39.92,7220,35.61261926018014,57.14929195004335,66.70588235294116,0,0,0.0,0.0,500000.0
2003-07-21,40.0,40.25,39.4,39.4,6715,23.741746173453425,46.01344335784671,58.385093167701854,0,0,0.0,0.0,500000.0
2003-07-22,39.41,39.98,39.41,39.98,9169,29.16116411563555,40.396016943776324,58.072590738423,0,0,0.0,0.0,500000.0
2003-07-23,40.3,40.5,40.0,40.05,8148,34.383304812722486,38.39177956675838,56.77419354838706,0,0,0.0,0.0,500000.0
2003-07-24,40.2,41.23,40.2,41.23,10984,56.25553654181499,44.34636522511059,61.36101499423295,1,12109,0.0,-499965.50704975,34.49295024998719
2003-07-25,41.0,41.34,40.85,41.23,8433,70.83702436121,53.17658493714372,51.65945165945164,0,12109,0.0,0.0,34.49295024998719
2003-07-28,41.9,41.94,41.57,41.58,6839,80.55801624080667,62.30372870503137,52.750352609308884,0,12109,0.0,0.0,34.49295024998719
2003-07-29,41.54,41.54,40.83,41.02,5680,78.47598636237271,67.69448125747849,48.68766404199478,0,12109,0.0,0.0,34.49295024998719
2003-07-30,41.0,41.02,40.55,40.6,9300,70.66594809479287,68.68497020324995,54.0029112081514,0,12109,0.0,0.0,34.49295024998719
2003-07-31,40.66,41.0,40.44,40.87,5120,69.58769628337872,68.9858788966262,56.85714285714285,0,12109,0.0,0.0,34.49295024998719
2003-08-01,41.28,41.6,41.05,41.6,3703,79.72513085558582,72.56562954961274,56.733524355300894,0,12109,0.0,0.0,34.49295024998719
2003-08-04,41.47,41.55,41.21,41.4,3708,82.18234530157329,75.77120146693292,59.01639344262294,0,12109,0.0,0.0,34.49295024998719
2003-08-05,41.5,41.61,40.5,40.5,4929,54.78823020104886,68.77687771163824,47.482014388489205,-1,12109,0.0,0.0,34.49295024998719
2003-08-06,40.2,40.3,40.06,40.23,4646,36.52548680069924,58.02641407465857,53.484602917341974,0,12109,0.0,0.0,34.49295024998719
2003-08-07,40.35,40.77,39.97,40.7,5574,35.785847648154835,50.612891932490655,55.98159509202454,0,12109,0.0,0.0,34.49295024998719
2003-08-08,40.7,40.7,40.18,40.18,4009,23.857231765436556,41.694338543472625,55.98159509202454,0,12109,0.0,0.0,34.49295024998719
2003-08-11,39.9,40.18,39.68,40.1,2619,15.904821176957704,33.09783275463432,50.99667774086383,0,12109,0.0,0.0,34.49295024998719
2003-08-12,40.34,40.65,40.34,40.55,4255,20.60321411797171,28.932959875746782,53.90625,0,12109,0.0,0.0,34.49295024998719
2003-08-13,41.0,42.45,41.0,42.45,12452,47.06880941198114,34.97824305449157,58.56741573033711,1,12109,0.0,0.0,34.49295024998719
2003-08-14,42.29,42.55,42.0,42.3,11489,62.58488003351927,44.18045538083413,57.35900962861072,0,12109,0.0,0.0,34.49295024998719
2003-08-15,42.66,43.5,42.66,42.72,8705,75.05658668901285,54.47249915022704,57.765667574931854,0,12109,0.0,0.0,34.49295024998719
