Date,Open,High,Low,Close,Volume,MA_5,EMA_5,RSI,K,D,macd_dif,macd_dea,macd,bbands_middle,bbands_upper,bbands_lower,buy_point,ticker_num,income,expenditure,account
2016-01-30,5.21,5.22,5.18,5.19,3197,5.122,5.138909531862966,56.92307692307698,79.98687623744785,61.03498696091298,-0.0460926079414028,-0.06495502938281217,0.01886242144140937,5.1265,5.313612265765769,4.939387734234231,0,0,0.0,0.0,500000.0
2016-02-01,5.2,5.2,5.12,5.13,2922,5.1339999999999995,5.135939687908644,53.62318840579709,69.9912508249651,64.02040824893035,-0.042061975675947494,-0.060376418641439236,0.018314442965491742,5.1165,5.278768296348979,4.954231703651022,0,0,0.0,0.0,500000.0
2016-02-02,5.18,5.18,5.11,5.12,4035,5.144,5.130626458605763,58.730158730158756,60.5497227721989,62.863513090019865,-0.03922245494744736,-0.05614562590264086,0.016923170955193502,5.106999999999999,5.242955875194858,4.9710441248051405,0,0,0.0,0.0,500000.0
2016-02-03,5.1,5.11,5.06,5.07,3942,5.138,5.1104176390705085,52.30769230769232,40.3664818481326,55.36450267605744,-0.04053938366503296,-0.05302437745511929,0.01248499379008633,5.1005,5.230342211934333,4.970657788065668,0,0,0.0,0.0,500000.0
2016-02-15,5.05,5.09,5.02,5.06,1939,5.114,5.093611759380339,42.85714285714286,26.910987898755067,45.87999775028999,-0.0419068989433109,-0.05080088175275761,0.008893982809446713,5.09,5.1948808848170165,4.985119115182983,0,0,0.0,0.0,500000.0
2016-02-16,5.07,5.31,5.07,5.25,12053,5.1259999999999994,5.145741172920227,66.15384615384612,51.27399193250338,47.677995811027785,-0.027344047392751314,-0.04610951488075636,0.018765467488005047,5.095000000000001,5.218693168768532,4.97130683123147,0,0,0.0,0.0,500000.0
2016-02-17,5.22,5.24,5.14,5.15,3691,5.130000000000001,5.147160781946818,59.72222222222226,49.972134972546215,48.442708864867264,-0.023600000766042406,-0.041607612057813576,0.01800761129177117,5.097499999999999,5.223496031683542,4.971503968316457,0,0,0.0,0.0,500000.0
2016-02-18,5.2,5.23,5.16,5.16,4112,5.138,5.151440521297879,60.27397260273975,50.85861629748701,49.24801134240718,-0.019599964226414635,-0.03720608249153379,0.017606118265119153,5.1005,5.22941470048059,4.97158529951941,0,0,0.0,0.0,500000.0
2016-02-19,5.19,5.2,5.15,5.16,2825,5.156000000000001,5.154293680865253,52.459016393442646,51.44960384744754,49.981875510753966,-0.016242671048912527,-0.03301340020300954,0.01677072915409701,5.1045,5.2355686842842335,4.973431315715766,0,0,0.0,0.0,500000.0
2016-02-22,5.17,5.22,5.15,5.19,2529,5.182,5.1661957872435025,60.34482758620688,57.106753442158094,52.35683482122201,-0.01103404908877259,-0.02861752998016215,0.017583480891389558,5.1135,5.242072936499095,4.984927063500906,0,0,0.0,0.0,500000.0
2016-02-23,5.2,5.35,5.17,5.26,8838,5.184,5.197463858162335,64.61538461538456,71.40450229477207,58.70605731240536,-0.001243430184518779,-0.023142710021033477,0.0218992798365147,5.1245,5.263276799213702,4.985723200786299,0,0,0.0,0.0,500000.0
2016-02-24,5.25,5.39,5.24,5.29,5645,5.212,5.228309238774891,64.61538461538461,80.93633486318139,66.11614982933071,0.008834615169920568,-0.01674724498284267,0.025581860152763237,5.132,5.288409718368137,4.975590281631862,0,0,0.0,0.0,500000.0
2016-02-25,5.29,5.32,5.25,5.27,4363,5.234,5.242206159183261,57.627118644067764,82.16268478058234,71.46499481308125,0.015034398679296679,-0.0103909162504148,0.02542531492971148,5.1435,5.304903221777015,4.982096778222986,0,0,0.0,0.0,500000.0
2016-02-26,5.3,5.3,5.25,5.27,1961,5.255999999999999,5.25147077278884,56.89655172413786,82.98025139218298,75.30341367278183,0.019720446743003883,-0.0043686436517310625,0.024089090394734947,5.1565,5.314648664237167,4.998351335762834,0,0,0.0,0.0,500000.0
2016-03-01,5.27,5.33,5.27,5.28,3266,5.273999999999999,5.260980515192561,64.15094339622642,85.32016759478871,78.64233164678413,0.023964838283024648,0.0012980527352200793,0.022666785547804567,5.17,5.321789327688082,5.018210672311918,0,0,0.0,0.0,500000.0
2016-03-02,5.33,5.42,5.33,5.37,6343,5.296,5.297320343461708,70.4918032786885,90.21344506319248,82.49936945225357,0.03419659987953061,0.007877762164082185,0.026318837715448424,5.182,5.355620275313686,5.008379724686315,0,0,0.0,0.0,500000.0
2016-03-03,5.41,5.5,5.38,5.42,7494,5.322,5.338213562307805,78.68852459016385,93.47563004212833,86.15812298221184,0.04581183645936271,0.015464577023138292,0.03034725943622442,5.1995,5.393765282539109,5.00523471746089,0,0,0.0,0.0,500000.0
2016-03-04,5.46,5.62,5.46,5.57,9277,5.382,5.415475708205204,84.00000000000001,95.65042002808556,89.32222199750308,0.06635583279445179,0.025642828177400993,0.040713004617050796,5.224500000000001,5.468095976978275,4.9809040230217265,0,0,0.0,0.0,500000.0
2016-03-07,5.68,5.81,5.59,5.78,12893,5.484,5.536983805470136,84.4155844155844,97.10028001872371,91.91490800457663,0.09844750134422853,0.0402037628107665,0.05824373853346203,5.2585,5.595146699077831,4.9218533009221686,0,0,0.0,0.0,500000.0
2016-03-08,5.8,5.81,5.62,5.74,7899,5.5760000000000005,5.604655870313424,91.54929577464783,95.40018667914914,93.07666756276747,0.11927775446620004,0.056018561141853204,0.06325919332434683,5.2865,5.6806205399367045,4.892379460063296,0,0,0.0,0.0,500000.0
2016-03-09,5.71,5.71,5.59,5.61,5086,5.6240000000000006,5.6064372468756165,77.10843373493974,83.11231957471733,89.75521823341742,0.12386809233137708,0.06958846737975799,0.05427962495161909,5.307499999999999,5.7229936822624365,4.892006317737562,0,0,0.0,0.0,500000.0
2016-03-10,5.63,5.79,5.6,5.69,9649,5.678,5.634291497917078,79.12087912087911,80.40821304981158,86.63954983888215,0.13243467507667184,0.08215770891914076,0.05027696615753108,5.3355,5.7742014930450996,4.8967985069549,0,0,0.0,0.0,500000.0
2016-03-11,5.7,5.72,5.54,5.63,9611,5.69,5.6328609986113864,73.40425531914887,63.12928489035051,78.80279485603826,0.13285083335202597,0.0922963338057178,0.04055449954630816,5.361000000000001,5.8058775112320244,4.916122488767977,-1,0,0.0,0.0,500000.0
2016-03-14,5.66,5.67,5.58,5.63,5557,5.66,5.631907332407591,71.2643678160919,46.007758554351234,67.87111608880925,0.13166291367200955,0.10016964977897616,0.03149326389303339,5.389,5.827538481777825,4.950461518222175,-1,0,0.0,0.0,500000.0
2016-03-15,5.66,5.66,5.39,5.42,6894,5.596000000000001,5.561271554938394,56.19047619047617,30.671839036234157,55.47135707128422,0.11247963855322674,0.10263164753382628,0.009847991019400454,5.407,5.818781495456024,4.995218504543976,0,0,0.0,0.0,500000.0
2016-03-16,5.45,5.53,5.44,5.46,5586,5.566,5.527514369958929,58.878504672897215,25.38616429576104,45.44295947944316,0.09935907099801788,0.1019771322266646,-0.0026180612286467175,5.4174999999999995,5.823400234047726,5.011599765952273,0,0,0.0,0.0,500000.0
2016-03-17,5.53,5.62,5.46,5.5,7362,5.5280000000000005,5.518342913305953,60.36036036036037,26.800652740383896,39.228857233090075,0.09113801013854772,0.09980930780904124,-0.008671297670493516,5.4350000000000005,5.823046388979463,5.046953611020538,0,0,0.0,0.0,500000.0
2016-03-18,5.58,5.59,5.5,5.52,4573,5.505999999999999,5.518895275537302,60.71428571428568,33.740117699938416,37.39927738870619,0.08525383983396484,0.09689821421402597,-0.011644374380061134,5.453,5.821244484004853,5.084755515995147,0,0,0.0,0.0,500000.0
2016-03-21,5.55,5.55,5.47,5.53,3244,5.486,5.522596850358202,57.6923076923077,39.95372926027646,38.25076134589628,0.08046990196189618,0.09361255176360002,-0.013142649801703835,5.471500000000001,5.815376431294732,5.127623568705269,0,0,0.0,0.0,500000.0
