Date,Open,High,Low,Close,Volume
2016/01/04,5.55,5.58,5.37,5.37,3802
2016/01/05,5.37,5.43,5.31,5.33,2700
2016/01/06,5.33,5.4,5.3,5.31,4703
2016/01/07,5.31,5.35,5.13,5.2,5395
2016/01/08,5.2,5.28,5.16,5.27,6895
2016/01/11,5.22,5.22,5.06,5.15,4441
2016/01/12,5.13,5.18,5.06,5.1,4588
2016/01/13,5.15,5.15,5.04,5.1,4269
2016/01/14,5.03,5.08,4.98,5.08,6622
2016/01/15,5.11,5.13,5,5.01,5399
2016/01/18,4.85,5.1,4.85,5.04,4745
2016/01/19,5.09,5.16,5.05,5.14,3131
2016/01/20,5.14,5.16,5.02,5.04,3899
2016/01/21,5.01,5.09,4.99,5.01,3340
2016/01/22,5.07,5.07,5.01,5.01,3402
2016/01/25,5.05,5.21,5.03,5.13,19209
2016/01/26,5.1,5.13,5.07,5.07,2849
2016/01/27,5.07,5.12,5.05,5.07,2948
2016/01/28,5.1,5.18,5.07,5.1,3691
2016/01/29,5.16,5.19,5.11,5.18,4583
2016/01/30,5.21,5.22,5.18,5.19,3197
2016/02/01,5.2,5.2,5.12,5.13,2922
2016/02/02,5.18,5.18,5.11,5.12,4035
2016/02/03,5.1,5.11,5.06,5.07,3942
2016/02/15,5.05,5.09,5.02,5.06,1939
2016/02/16,5.07,5.31,5.07,5.25,12053
2016/02/17,5.22,5.24,5.14,5.15,3691
2016/02/18,5.2,5.23,5.16,5.16,4112
2016/02/19,5.19,5.2,5.15,5.16,2825
2016/02/22,5.17,5.22,5.15,5.19,2529
2016/02/23,5.2,5.35,5.17,5.26,8838
2016/02/24,5.25,5.39,5.24,5.29,5645
2016/02/25,5.29,5.32,5.25,5.27,4363
2016/02/26,5.3,5.3,5.25,5.27,1961
2016/03/01,5.27,5.33,5.27,5.28,3266
2016/03/02,5.33,5.42,5.33,5.37,6343
2016/03/03,5.41,5.5,5.38,5.42,7494
2016/03/04,5.46,5.62,5.46,5.57,9277
2016/03/07,5.68,5.81,5.59,5.78,12893
2016/03/08,5.8,5.81,5.62,5.74,7899
2016/03/09,5.71,5.71,5.59,5.61,5086
2016/03/10,5.63,5.79,5.6,5.69,9649
2016/03/11,5.7,5.72,5.54,5.63,9611
2016/03/14,5.66,5.67,5.58,5.63,5557
2016/03/15,5.66,5.66,5.39,5.42,6894
2016/03/16,5.45,5.53,5.44,5.46,5586
2016/03/17,5.53,5.62,5.46,5.5,7362
2016/03/18,5.58,5.59,5.5,5.52,4573
2016/03/21,5.55,5.55,5.47,5.53,3244
2016/03/22,5.59,5.66,5.54,5.6,7624
2016/03/23,5.65,5.69,5.59,5.61,7425
2016/03/24,5.62,5.62,5.53,5.53,3945
2016/03/25,5.55,5.56,5.47,5.5,6535
2016/03/28,5.48,5.5,5.35,5.37,6617
2016/03/29,5.4,5.44,5.3,5.35,4980
2016/03/30,5.33,5.39,5.33,5.36,2791
2016/03/31,5.37,5.39,5.32,5.37,3136
2016/04/01,5.31,5.35,5.3,5.35,3074
2016/04/06,5.33,5.33,5.26,5.27,3322
2016/04/07,5.27,5.3,5.24,5.24,3786
2016/04/08,5.21,5.29,5.21,5.29,1923
2016/04/11,5.29,5.29,5.22,5.24,2318
2016/04/12,5.23,5.25,5.17,5.17,4047
2016/04/13,5.19,5.24,5.18,5.22,2467
2016/04/14,5.23,5.29,5.2,5.2,2521
2016/04/15,5.19,5.23,5.18,5.18,3320
2016/04/18,5.18,5.2,5.11,5.13,3397
2016/04/19,5.15,5.2,5.12,5.14,4019
2016/04/20,5.14,5.17,5.09,5.09,3725
2016/04/21,5.1,5.14,5.05,5.07,4752
2016/04/22,5.06,5.08,5.03,5.07,4561
2016/04/25,5.09,5.13,5.05,5.13,2235
2016/04/26,5.12,5.14,5.06,5.06,2569
2016/04/27,5.07,5.13,5.05,5.06,3452
2016/04/28,5.07,5.1,5.04,5.05,1222
2016/04/29,5.04,5.07,5,5.04,2780
2016/05/03,5.02,5.04,4.96,4.97,4476
2016/05/04,4.99,5.01,4.9,4.9,6039
2016/05/05,4.9,4.91,4.79,4.83,7867
2016/05/06,4.83,4.88,4.8,4.85,2433
2016/05/09,4.89,4.91,4.74,4.75,6973
2016/05/10,4.76,4.85,4.74,4.75,3975
2016/05/11,4.79,4.81,4.67,4.67,5029
2016/05/12,4.65,4.71,4.61,4.61,4765
2016/05/13,4.61,4.61,4.49,4.61,7029
2016/05/16,4.55,4.63,4.54,4.63,2358
2016/05/17,4.59,4.7,4.59,4.66,3048
2016/05/18,4.63,4.65,4.57,4.59,6158
2016/05/19,4.58,4.7,4.58,4.68,4320
2016/05/20,4.71,4.77,4.69,4.77,5282
2016/05/23,4.76,4.85,4.73,4.85,5095
2016/05/24,4.8,4.92,4.8,4.9,4490
2016/05/25,4.91,4.99,4.91,4.97,5403
2016/05/26,4.99,5.03,4.94,4.96,5361
2016/05/27,4.96,5.09,4.94,5.07,6416
2016/05/30,5.07,5.1,5.03,5.09,3403
2016/05/31,5.08,5.09,5.02,5.08,3500
2016/06/01,5.04,5.12,5.04,5.06,5698
2016/06/02,5.06,5.1,5.04,5.05,5759
2016/06/03,5.06,5.1,5.03,5.07,3464
2016/06/04,5.08,5.08,5.04,5.07,1326
2016/06/06,5.05,5.06,5.02,5.02,2659
2016/06/07,5.02,5.07,5,5.02,3460
2016/06/08,5.03,5.07,5.01,5.01,3152
2016/06/13,4.98,5,4.8,4.84,5084
2016/06/14,4.84,4.92,4.84,4.88,2134
2016/06/15,4.89,4.92,4.86,4.92,1511
2016/06/16,4.91,4.92,4.84,4.87,2032
2016/06/17,4.9,4.91,4.85,4.91,2955
2016/06/20,4.93,4.96,4.88,4.9,3498
2016/06/21,4.91,4.96,4.9,4.93,3024
2016/06/22,4.93,4.94,4.9,4.92,2390
2016/06/23,4.92,4.97,4.92,4.94,1703
2016/06/24,4.86,4.93,4.76,4.79,12800
2016/06/27,4.79,4.86,4.79,4.85,1959
2016/06/28,4.89,4.98,4.87,4.93,5775
2016/06/29,4.93,5.05,4.93,5,5786
2016/06/30,5.07,5.14,5.02,5.11,8197
2016/07/01,5.13,5.14,5.05,5.05,3891
2016/07/04,5.06,5.14,5.02,5.09,4468
2016/07/05,5.09,5.17,5.09,5.15,5030
2016/07/06,5.15,5.16,5.09,5.13,5496
2016/07/07,5.14,5.18,5.09,5.14,5180
2016/07/11,5.16,5.19,5.1,5.11,3852
2016/07/12,5.02,5.02,4.96,4.99,5198
2016/07/13,5,5.04,4.99,5.02,4239
2016/07/14,5.05,5.09,5.03,5.06,4122
2016/07/15,5.1,5.13,5.07,5.08,3878
2016/07/18,5.09,5.26,5.09,5.26,6650
2016/07/19,5.26,5.28,5.18,5.19,4522
2016/07/20,5.19,5.28,5.17,5.19,4249
2016/07/21,5.22,5.41,5.2,5.32,13259
2016/07/22,5.32,5.56,5.31,5.45,16972
2016/07/25,5.5,5.51,5.33,5.39,6943
2016/07/26,5.39,5.39,5.3,5.36,2917
2016/07/27,5.36,5.43,5.34,5.36,4930
2016/07/28,5.37,5.37,5.3,5.31,3713
2016/07/29,5.32,5.36,5.3,5.35,4524
2016/08/01,5.35,5.65,5.34,5.64,16729
2016/08/02,5.63,5.68,5.56,5.57,6316
2016/08/03,5.52,5.52,5.45,5.5,4130
2016/08/04,5.52,5.54,5.46,5.52,4173
2016/08/05,5.47,5.52,5.47,5.5,2728
2016/08/08,5.53,5.54,5.47,5.48,2690
2016/08/09,5.48,5.48,5.36,5.38,3816
2016/08/10,5.37,5.41,5.32,5.35,4009
2016/08/11,5.34,5.4,5.25,5.34,5225
2016/08/12,5.35,5.37,5.28,5.28,3029
2016/08/15,5.3,5.33,5.27,5.28,2358
2016/08/16,5.29,5.31,5.26,5.3,1816
2016/08/17,5.32,5.36,5.27,5.3,2680
2016/08/18,5.31,5.34,5.29,5.31,1483
2016/08/19,5.34,5.42,5.33,5.37,4394
2016/08/22,5.36,5.37,5.29,5.31,2852
2016/08/23,5.31,5.36,5.31,5.31,4438
2016/08/24,5.33,5.34,5.3,5.3,3061
2016/08/25,5.32,5.44,5.32,5.4,4507
2016/08/26,5.4,5.53,5.4,5.47,6894
2016/08/29,5.49,5.62,5.49,5.59,8305
2016/08/30,5.6,5.6,5.54,5.57,6949
2016/08/31,5.54,5.57,5.49,5.51,6602
2016/09/01,5.51,5.53,5.46,5.48,4121
2016/09/02,5.48,5.64,5.48,5.56,12063
2016/09/05,5.62,5.66,5.59,5.62,11031
2016/09/06,5.62,5.68,5.6,5.68,8992
2016/09/07,5.71,6.2,5.71,6.11,35107
2016/09/08,6.13,6.18,6.06,6.11,18374
2016/09/09,6.08,6.24,6.02,6.19,16509
2016/09/10,6.07,6.45,6.04,6.36,20720
2016/09/12,6.36,6.58,6.3,6.46,25086
2016/09/13,6.54,6.75,6.52,6.59,22967
2016/09/14,6.51,6.68,6.51,6.64,13780
2016/09/19,6.7,6.76,6.61,6.68,11991
2016/09/20,6.66,6.82,6.63,6.77,14854
2016/09/21,6.83,7.28,6.82,7.22,32426
2016/09/22,7.25,7.82,7.25,7.5,69213
2016/09/23,7.6,8.07,7.58,8.07,76638
2016/09/26,8.07,8.48,8.07,8.48,67700
2016/09/29,8.6,8.74,8.46,8.46,85937
2016/09/30,8.35,8.37,7.62,7.76,113936
2016/10/03,7.79,7.94,7.58,7.66,29180
2016/10/04,7.69,7.98,7.63,7.78,30294
2016/10/05,7.72,7.76,7.38,7.4,26962
2016/10/06,7.33,7.54,7.24,7.54,28508
2016/10/07,7.6,7.67,7.29,7.31,51373
2016/10/11,7.33,7.54,7.23,7.54,38381
2016/10/12,7.47,7.56,7.35,7.56,23002
2016/10/13,7.5,7.51,7.34,7.34,14235
2016/10/14,7.31,7.41,7.22,7.32,91740
2016/10/17,7.45,7.64,7.42,7.54,27303
2016/10/18,7.48,8.14,7.35,8.03,69438
2016/10/19,8.08,8.22,7.96,8.05,38258
2016/10/20,8.08,8.27,7.98,8.11,30728
2016/10/21,8.05,8.2,8.03,8.05,20811
2016/10/24,8.05,8.18,8.02,8.02,11273
2016/10/25,7.97,8.09,7.85,7.87,14044
2016/10/26,7.93,8.21,7.79,8.19,33612
2016/10/27,8.14,8.27,8.1,8.22,20309
2016/10/28,8.23,8.38,8.12,8.34,25489
2016/10/31,8.3,8.42,8.16,8.31,16106
2016/11/01,8.28,8.42,8.23,8.23,16552
2016/11/02,8.18,8.34,7.92,8.05,42337
2016/11/03,8.07,8.15,7.98,8.15,38950
2016/11/04,8.17,8.4,8.17,8.32,31847
2016/11/07,8.4,8.72,8.4,8.6,40182
2016/11/08,8.67,8.71,8.46,8.7,39900
2016/11/09,8.7,8.75,8.24,8.46,43815
2016/11/10,8.76,9.24,8.71,9.07,58219
2016/11/11,9.05,9.05,8.75,8.82,31354
2016/11/14,8.84,8.87,8.6,8.62,15914
2016/11/15,8.68,9.07,8.59,9.07,30434
2016/11/16,9.2,9.42,9,9.4,52246
2016/11/17,9.41,9.58,9.32,9.58,41143
2016/11/18,9.57,9.76,9.49,9.56,27777
2016/11/21,9.46,9.62,9.46,9.53,17541
2016/11/22,9.58,9.67,9.47,9.49,18678
2016/11/23,9.56,9.56,9.4,9.48,21594
2016/11/24,9.56,9.62,9.41,9.41,18784
2016/11/25,9.4,9.53,9.35,9.53,16932
2016/11/28,9.62,9.72,9.53,9.53,13624
2016/11/29,9.55,9.68,9.49,9.65,15030
2016/11/30,9.67,9.89,9.65,9.84,26061
2016/12/01,9.85,9.89,9.68,9.81,21648
2016/12/02,9.78,9.8,9.67,9.67,15255
2016/12/05,9.67,9.72,9.4,9.45,13649
2016/12/06,9.52,9.56,9.39,9.41,10378
2016/12/07,9.43,9.55,9.43,9.5,9114
2016/12/08,9.54,9.56,9.45,9.45,8521
2016/12/09,9.46,9.5,9.15,9.19,13587
2016/12/12,9.19,9.24,9.01,9.01,14682
2016/12/13,9.04,9.27,9.01,9.25,9977
2016/12/14,9.25,9.29,9.18,9.19,7380
2016/12/15,9.15,9.17,9.11,9.11,7061
2016/12/16,9.08,9.27,9.05,9.05,14066
2016/12/19,9.09,9.14,8.77,8.77,15229
2016/12/20,8.8,9.39,8.7,9.36,30249
2016/12/21,9.33,9.74,9.31,9.63,35545
2016/12/22,9.55,9.68,9.45,9.45,15716
2016/12/23,9.42,9.51,9.3,9.44,10336
