Date,Open,High,Low,Close,Volume
2016/01/04,21.65,21.7,21.25,21.25,4101
2016/01/05,21.25,21.95,21.1,21.65,5103
2016/01/06,21.5,21.85,21.1,21.8,6517
2016/01/07,21.8,21.9,20.9,21.2,11891
2016/01/08,21,21.1,20.6,21.05,8672
2016/01/11,20.95,20.95,20.5,20.6,3611
2016/01/12,21,21.05,20.6,20.6,5221
2016/01/13,20.9,20.95,20,20.05,7462
2016/01/14,19.75,20.25,19.3,20.25,4715
2016/01/15,20.25,20.4,20,20.2,2854
2016/01/18,19.45,20.75,19.45,20.75,4724
2016/01/19,20.6,20.85,20.45,20.65,5357
2016/01/20,20.5,20.65,20.4,20.5,3307
2016/01/21,21,21,20.6,20.8,3663
2016/01/22,20.9,21.15,20.65,20.8,3782
2016/01/25,20.9,21.15,20.9,21,2276
2016/01/26,21.1,21.2,20.95,20.95,2106
2016/01/27,21.05,21.25,20.9,20.95,3745
2016/01/28,21.2,21.55,21,21.5,4628
2016/01/29,21.7,22,21.5,22,8032
2016/01/30,22.2,22.3,21.8,21.95,3450
2016/02/01,22,22.1,21.7,22.1,3920
2016/02/02,22.1,22.55,22,22.3,5768
2016/02/03,22.3,22.65,22.1,22.35,6118
2016/02/15,22,22.95,21.9,22.8,7259
2016/02/16,22.7,22.95,22.45,22.85,4877
2016/02/17,23.3,23.55,23.1,23.35,10292
2016/02/18,23.4,23.75,23.25,23.55,8881
2016/02/19,24.1,25.4,24.1,24.9,17935
2016/02/22,25,25.1,24.6,24.8,6876
2016/02/23,24.9,25.3,24.8,24.95,10609
2016/02/24,25,25.3,24.8,25,8378
2016/02/25,25.2,25.2,24.9,25.05,6831
2016/02/26,25.25,26.45,25.2,26.15,13933
2016/03/01,26.3,26.3,25.65,26.1,8921
2016/03/02,26.35,27.2,26.35,27.15,16712
2016/03/03,27,27,26.3,26.6,15218
2016/03/04,26.95,27.15,26.8,27.1,14468
2016/03/07,27.5,28,27.3,27.45,13412
2016/03/08,27.4,27.8,26.7,27.4,11611
2016/03/09,27.6,27.65,27.15,27.35,7928
2016/03/10,27.65,28,27.4,27.55,11439
2016/03/11,27.85,27.9,27.1,27.2,8397
2016/03/14,27.4,27.5,27.05,27.45,7187
2016/03/15,27.5,28.25,27.4,27.8,22460
2016/03/16,27.8,27.95,26.6,27,18319
2016/03/17,27,27.6,26.95,27.5,11719
2016/03/18,27.5,27.5,26.9,27.3,7739
2016/03/21,27.15,27.3,27.1,27.3,4796
2016/03/22,27.3,28.2,27.1,27.9,10587
2016/03/23,27.9,27.9,27.4,27.55,5949
2016/03/24,27.55,27.55,26.6,26.8,5867
2016/03/25,26.8,27,26.5,26.55,2841
2016/03/28,26.55,27,26.3,26.8,4076
2016/03/29,26.95,27.75,26.8,27.6,13432
2016/03/30,27.9,28.65,27.5,28.05,19619
2016/03/31,28.15,28.6,27.65,28.6,18268
2016/04/01,28.75,28.75,27.55,27.6,8877
2016/04/06,27.65,27.85,26.9,27.7,6248
2016/04/07,27.85,27.85,27,27.3,4050
2016/04/08,27.6,27.75,27.3,27.65,6592
