Date,Open,High,Low,Close,Volume
2019/1/2,9.95,9.98,9.77,9.9,399
2019/1/3,9.81,9.89,9.75,9.77,410
2019/1/4,9.64,9.64,9.1,9.47,498
2019/1/7,9.68,9.68,9.41,9.41,366
2019/1/8,9.44,9.56,9.42,9.52,186
2019/1/9,9.6,9.66,9.52,9.58,260
2019/1/10,9.6,9.64,9.53,9.53,242
2019/1/11,9.48,9.58,9.3,9.36,496
2019/1/14,9.33,9.36,9.12,9.31,224
2019/1/15,9.31,9.31,9.18,9.22,232
2019/1/16,9.16,9.26,9.1,9.11,480
2019/1/17,9.19,9.21,9.12,9.15,152
2019/1/18,9.16,9.34,9.15,9.25,297
2019/1/21,9.21,9.55,9.21,9.47,427
2019/1/22,9.4,9.48,9.31,9.31,147
2019/1/23,9.31,9.33,9.26,9.27,161
2019/1/24,9.28,9.32,9.21,9.26,235
2019/1/25,9.24,9.33,9.24,9.28,154
2019/1/28,9.25,9.35,9.25,9.28,258
2019/1/29,9.23,9.28,9.18,9.19,420
2019/1/30,9.19,9.27,9.18,9.18,360
2019/2/11,9.18,9.19,9.1,9.13,234
2019/2/12,9.18,9.22,9.12,9.13,421
2019/2/13,9.2,9.28,9.15,9.2,400
2019/2/14,9.28,9.65,9.26,9.64,1014
2019/2/15,9.64,9.83,9.54,9.69,800
2019/2/18,9.7,9.7,9.58,9.58,396
2019/2/19,9.58,9.65,9.55,9.58,351
2019/2/20,9.58,9.76,9.57,9.63,500
2019/2/21,10.55,10.55,10.55,10.55,1682
2019/2/22,11.3,11.6,10.85,11.4,7203
2019/2/25,11.35,11.35,10.9,11,2551
2019/2/26,10.95,11.35,10.95,11.05,1316
2019/2/27,11.2,11.2,10.8,11,843
2019/3/4,11,11,10.7,10.8,755
2019/3/5,10.5,10.95,10.5,10.75,705
2019/3/6,10.65,11.3,10.65,11,1126
2019/3/7,10.85,10.95,10.65,10.7,666
2019/3/8,10.65,10.8,10.6,10.8,341
2019/3/11,10.8,11.15,10.7,11.1,803
2019/3/12,11,11.2,10.85,10.9,716
2019/3/13,10.9,10.95,10.8,10.9,358
2019/3/14,10.9,11,10.7,10.75,427
2019/3/15,10.75,10.8,10.55,10.55,892
2019/3/18,10.55,10.6,10.35,10.5,688
2019/3/19,10.4,10.7,10.4,10.65,369
2019/3/20,10.75,10.75,10.5,10.6,355
2019/3/21,10.65,10.65,10.4,10.5,633
2019/3/22,10.6,10.6,10.25,10.25,647
2019/3/25,10.3,10.35,10.1,10.25,581
2019/3/26,10.2,10.25,10.15,10.25,324
2019/3/27,10.2,10.25,10.15,10.2,400
2019/3/28,10.15,10.2,10.05,10.2,408
2019/3/29,10.2,10.2,10,10.1,541
2019/4/1,10,10.05,9.94,10,1021
2019/4/2,10.05,10.3,10.05,10.2,780
2019/4/3,10.15,10.2,10.05,10.1,561
2019/4/8,10.05,10.2,10.05,10.15,692
2019/4/9,10.1,10.4,10.1,10.35,759
2019/4/10,10.3,10.3,10,10.05,1114
2019/4/11,10.1,10.15,10,10.05,590
2019/4/12,10.05,10.05,9.97,10,685
2019/4/15,10,10.1,9.95,9.99,853
2019/4/16,10,10.1,9.96,10.05,909
2019/4/17,10.05,10.65,10.05,10.6,2227
2019/4/18,10.5,10.5,10.1,10.15,1170
2019/4/19,10.2,10.25,10.05,10.2,989
2019/4/22,10.3,10.3,10,10.1,695
2019/4/23,10.1,10.15,10,10,677
2019/4/24,10,10.15,10,10.05,407
2019/4/25,10.05,10.1,10,10.05,531
2019/4/26,10,10.05,9.95,9.99,644
2019/4/29,9.99,9.99,9.8,9.8,619
2019/4/30,9.8,9.94,9.8,9.83,241
2019/5/2,9.83,9.99,9.83,9.99,221
2019/5/3,9.99,9.99,9.9,9.93,258
2019/5/6,9.9,9.9,9.73,9.76,403
2019/5/7,9.76,9.85,9.74,9.78,344
2019/5/8,9.7,9.77,9.57,9.57,657
2019/5/9,9.59,9.6,9.12,9.17,1087
2019/5/10,9.16,9.3,9.15,9.23,696
2019/5/13,9.18,9.2,9.06,9.06,434
2019/5/14,9,9.15,8.65,9.14,510
2019/5/15,9.14,9.16,9,9.1,283
